no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
11             ci38443183     35.7053333     -117.5038333   10.5           6.4            21             1              3              1              
12             ci38443607     35.6013333     -117.597       2.81           4.59           7              2              8              3              
13             ci38443719     35.716         -117.56        1.92           4.58           15             3              5              2              
14             ci38443871     35.6715        -117.4788333   5.16           4.5            19             3              4              0              
15             ci38450263     35.7603333     -117.575       6.95           5.37           20             4              4              1              
16             ci38457487     35.7253333     -117.5535      0.88           4.97           16             3              3              1              
17             ci38457511     35.7695        -117.5993333   8.0            7.1            21             1              5              1              
18             ci37222196     35.9496667     -117.7376667   9.28           4.81           39             2              5              1              
19             ci38457519     35.9216667     -117.729       8.17           4.64           36             2              5              1              
20             ci37219484     35.748         -117.5456667   3.9            4.55           19             2              5              1              
21             ci37219500     35.6166667     -117.4301667   9.35           4.73           23             4              6              2              
22             ci37219156     35.891         -117.7365      9.1            4.64           33             4              4              1              
23             ci37219468     35.861         -117.6778333   6.82           4.52           29             3              5              1              
24             ci37219164     35.8031667     -117.6178333   11.44          4.84           25             3              5              1              
25             ci37219172     35.8606667     -117.6708333   10.32          4.61           30             7              7              2              
26             ci37219180     35.9138333     -117.7258333   8.0            4.5            35             3              3              1              
27             ci37219564     35.5303333     -117.4313333   3.83           4.57           23             3              6              1              
28             ci38457583     35.9028333     -117.7115      3.18           4.51           33             3              6              1              
29             ci38457687     35.9011667     -117.7495      5.04           5.5            33             3              4              1              
30             ci38457703     35.9035        -117.7001667   8.26           4.97           34             1              3              1              
31             ci38457775     35.5551667     -117.5215      5.5            4.68           15             2              8              2              
32             ci38457815     35.5846667     -117.6145      9.73           4.8            11             4              5              1              
33             ci38457847     35.9101667     -117.6848333   7.41           5.44           34             4              4              1              
34             ci38457967     35.9           -117.7376667   1.9            4.85           33             2              5              1              
35             ci38458679     35.911         -117.7385      4.99           4.63           34             4              4              1              
36             ci38460311     35.639         -117.4913333   3.14           4.56           16             2              3              1              
37             ci38460967     35.898         -117.7271667   3.95           4.89           32             3              5              1              
38             ci38463551     35.9283333     -117.705       2.37           4.5            36             3              6              1              
39             ci38469375     35.8235        -117.663       6.51           4.5            25             3              7              2              
40             ci38472279     35.7683333     -117.5781667   10.45          4.53           22             10             10             3              
42             ci38548295     35.6368333     -117.5861667   9.48           4.9            12             2              5              2              
43             ci38593535     36.113         -117.8875      1.56           4.64           59             2              4              1              
44             ci38644943     35.9258333     -117.7066667   3.79           4.74           35             3              6              1              
45             ci38996632     35.9076667     -117.709       4.93           4.89           33             4              6              2              
46             ci39281440     35.0975        -116.9696667   3.07           4.62           85             2              7              2              
47             ci39462536     35.6148333     -117.4281667   8.44           5.51           24             2              7              2              
48             ci39490952     36.4466667     -117.984       2.26           4.65           97             2              7              1              
49             ci39493944     36.4468333     -117.9751667   4.66           5.8            97             1              6              1              
50             ci39494008     36.456         -117.9311667   9.62           4.59           97             2              3              1              
51             ci39584648     36.4786667     -117.5141667   -0.57          4.72           97             2              5              1              
52             ci40063391     35.7091667     -117.5843333   6.3            4.58           14             3              7              2              
